Yıl,İlçe,Kullanıcı Sınıfı,Kullanım Sınıfı,Tüketim Yapan Gaz Kullanıcı Sayısı (Sayaç-Adet),Düzeltilmiş Tüketim (m3)
2016,ARNAVUTKÖY,MESKEN,OCAK+KOMBİ,1,6.34
2016,ARNAVUTKÖY,MESKEN,MERKEZ ISNMA+OCAK+ŞOFBEN,1,5.14
2016,ATAŞEHİR,MESKEN,MERKEZİ ISINMA+OCAK,1,1095.73
2016,ATAŞEHİR,MESKEN,OCAK+KOMBİ,5,607.08
2016,ATAŞEHİR,TİCARİ,OCAK+KOMBİ,1,5362.9
2016,ATAŞEHİR,TİCARİ (ÜRETİM),ÜRETİM+OCAK,1,198.57
2016,AVCILAR,MESKEN,OCAK+KOMBİ,1,721.45
2016,BAHÇELİEVLER,MESKEN,OCAK+KOMBİ,5,174.64
2016,BAKIRKÖY,MESKEN,OCAK+KOMBİ,2,366.59
2016,BAYRAMPAŞA,MESKEN,OCAK+KOMBİ,2,288.44
2016,BAYRAMPAŞA,TİCARİ,OCAK+SOBA,1,125.69
2016,BAĞCILAR,MESKEN,OCAK+SOBA,1,413.06
2016,BAĞCILAR,MESKEN,OCAK+KOMBİ,3,221.36
2016,BAŞAKŞEHİR,MESKEN,OCAK+KOMBİ,1,10.54
2016,BAŞAKŞEHİR,MESKEN,MERKEZİ ISINMA+OCAK,2,4166.61
2016,BEYKOZ,MESKEN,OCAK+KOMBİ,1,618.87
2016,BEYLİKDÜZÜ,MESKEN,OCAK+KOMBİ,5,26569.28
2016,BEYLİKDÜZÜ,MESKEN,MERKEZİ ISINMA,1,228.19
2016,BEŞİKTAŞ,MESKEN,OCAK+KOMBİ,1,5831.3
2016,BÜYÜKÇEKMECE,TİCARİ (ÜRETİM),OCAK+SOBA+ŞOFBEN,1,610.05
2016,ESENLER,MESKEN,OCAK+KOMBİ,4,4.06
2016,ESENYURT,MESKEN,MERKEZİ ISINMA+OCAK,1,145.76
2016,ESENYURT,MESKEN,OCAK+KOMBİ,2,338.33
2016,EYÜPSULTAN,MESKEN,OCAK+KOMBİ,1,137.31
2016,FATİH,MESKEN,OCAK+KOMBİ,2,235.59
2016,GAZİOSMANPAŞA,MESKEN,OCAK+SOBA+KOMBİ,1,145.79
2016,GAZİOSMANPAŞA,MESKEN,OCAK+KOMBİ,2,11.62
2016,KADIKÖY,MESKEN,OCAK+KOMBİ,1,8925.91
2016,KADIKÖY,RESMİ EĞİTİM KURUMLALARI,ÜRETİM+MERKEZİ ISINM,1,1809.32
2016,KARTAL,MESKEN,OCAK+KOMBİ,3,12390.63
2016,KARTAL,RESMİ EĞİTİM KURUMLALARI,MERKEZİ ISINMA,1,21474.88
2016,KÜÇÜKÇEKMECE,RESMİ EĞİTİM KURUMLALARI,MERKEZİ ISINMA+OCAK,1,1545.0
2016,MALTEPE,MESKEN,OCAK+KOMBİ,5,13.79
2016,PENDİK,MESKEN,OCAK,1,1473.65
2016,PENDİK,MESKEN,OCAK+KOMBİ,8,0.0
2016,SANCAKTEPE,MESKEN,OCAK+ŞOFBEN,1,249.32
2016,SULTANGAZİ,MESKEN,OCAK+SOBA+KOMBİ,1,471.18
2016,SULTANGAZİ,MESKEN,OCAK+KOMBİ,2,333.54
2016,TUZLA,MESKEN,OCAK+KOMBİ,3,204.9
2016,ZEYTİNBURNU,MESKEN,OCAK+KOMBİ,1,301.93
2016,ÇEKMEKÖY,MESKEN,OCAK+KOMBİ,1,210.1
2016,ÜMRANİYE,MESKEN,OCAK+SOBA,1,250.99
2016,ÜMRANİYE,MESKEN,OCAK+KOMBİ,2,13.08
2016,ÜSKÜDAR,MESKEN,OCAK+KOMBİ,1,5256.92
2016,ÜSKÜDAR,TİCARİ,OCAK+KOMBİ,1,0.0
2016,ŞİŞLİ,MESKEN,OCAK+KOMBİ,1,1800.82
2017,ARNAVUTKÖY,MESKEN,OCAK+KOMBİ,3,29.19
2017,ARNAVUTKÖY,MESKEN,OCAK+SOBA+KOMBİ,1,8483.91
2017,ATAŞEHİR,MESKEN,OCAK+KOMBİ,15,1941.9
2017,ATAŞEHİR,TİCARİ,OCAK+KOMBİ,2,3065.38
2017,AVCILAR,MESKEN,OCAK+SOBA+KOMBİ,3,1748.62
2017,AVCILAR,MESKEN,MERKEZ ISNMA+OCAK+ŞOFBEN,1,459.61
2017,AVCILAR,MESKEN,OCAK+SOBA,1,68441.96
2017,AVCILAR,MESKEN,OCAK+KOMBİ,56,445.47
2017,AVCILAR,TİCARİ,OCAK+KOMBİ,1,6682.3
2017,AVCILAR,TİCARİ (ÜRETİM),ÜRETİM+KOMBİ,1,30341.08
2017,BAHÇELİEVLER,MESKEN,OCAK+KOMBİ,29,53.15
2017,BAHÇELİEVLER,MESKEN,MERKEZ ISNMA+OCAK+ŞOFBEN,1,4421.58
2017,BAHÇELİEVLER,TİCARİ,ÜRETİM+KOMBİ,1,1570.12
2017,BAHÇELİEVLER,TİCARİ,OCAK+KOMBİ,1,5537.96
2017,BAKIRKÖY,MESKEN,OCAK+KOMBİ,6,431.11
2017,BAKIRKÖY,MESKEN,OCAK+SOBA+KOMBİ,1,6479.67
2017,BAKIRKÖY,TİCARİ,KOMBİ,1,9303.83
2017,BAKIRKÖY,TİCARİ (ÜRETİM),OCAK+KOMBİ,1,188.1
2017,BAYRAMPAŞA,MESKEN,OCAK+SOBA,1,2429.3
2017,BAYRAMPAŞA,MESKEN,OCAK+KOMBİ,8,279.5
2017,BAYRAMPAŞA,TİCARİ,OCAK+SOBA,1,10630.86
2017,BAĞCILAR,MESKEN,OCAK+KOMBİ,18,1438.46
2017,BAĞCILAR,MESKEN,OCAK+SOBA,2,23140.83
2017,BAĞCILAR,MESKEN,MERKEZİ ISINMA,1,1324.32
2017,BAĞCILAR,TİCARİ,OCAK+KOMBİ,1,20880.3
2017,BAĞCILAR,TİCARİ (ÜRETİM),ÜRETİM,1,3118.57
2017,BAĞCILAR,TİCARİ (ÜRETİM),OCAK+KOMBİ,1,2348.58
2017,BAŞAKŞEHİR,MESKEN,MERKEZİ ISINMA+OCAK,5,2803.18
2017,BAŞAKŞEHİR,MESKEN,OCAK+KOMBİ,4,6327.72
2017,BAŞAKŞEHİR,TİCARİ (ÜRETİM),MERKEZİ ISINMA,1,5999.16
2017,BEYKOZ,MESKEN,OCAK+KOMBİ,6,1248.18
2017,BEYKOZ,TİCARİ (ÜRETİM),ÜRETİM+KOMBİ+SOBA,1,49631.6
2017,BEYLİKDÜZÜ,MESKEN,OCAK+KOMBİ,37,3908.92
2017,BEYLİKDÜZÜ,TİCARİ,OCAK+KOMBİ,1,10556.44
2017,BEYLİKDÜZÜ,TİCARİ (ÜRETİM),ŞOFBEN+KOMBİ+SOBA,1,98230.81
2017,BEYLİKDÜZÜ,TİCARİ (ÜRETİM),ÜRETİM,1,8604.58
2017,BEYOĞLU,MESKEN,OCAK+KOMBİ,21,72.8
2017,BEYOĞLU,MESKEN,MERKEZİ ISINMA+OCAK,1,835.79
2017,BEŞİKTAŞ,MESKEN,OCAK+KOMBİ,4,4215.63
2017,BEŞİKTAŞ,TİCARİ (ÜRETİM),ÜRETİM,2,48193.04
2017,BÜYÜKÇEKMECE,MESKEN,OCAK+KOMBİ,28,4428.07
2017,BÜYÜKÇEKMECE,MESKEN,KOMBİ,1,28.07
2017,BÜYÜKÇEKMECE,MESKEN,MERKEZ ISNMA+OCAK+ŞOFBEN,1,2253.3
2017,BÜYÜKÇEKMECE,TİCARİ (ÜRETİM),OCAK+KOMBİ,1,1866.71
2017,BÜYÜKÇEKMECE,ÖZEL EĞİTİM KURUMLARI,KOMBİ,1,8644.12
2017,ESENLER,MESKEN,OCAK+KOMBİ,10,3395.6
2017,ESENLER,MESKEN,OCAK+SOBA,3,819.07
2017,ESENLER,MESKEN,OCAK+SOBA+KOMBİ,1,3615.2
2017,ESENLER,TİCARİ,OCAK+KOMBİ,1,1800.86
2017,ESENLER,TİCARİ (ÜRETİM),ÜRETİM+OCAK,1,66812.93
2017,ESENYURT,MESKEN,OCAK+KOMBİ,85,2706.92
2017,ESENYURT,MESKEN,OCAK+SOBA,1,5470.75
2017,ESENYURT,MESKEN,MERKEZİ ISINMA,1,91.82
2017,ESENYURT,MESKEN,MERKEZİ ISINMA+OCAK,4,253.39
2017,ESENYURT,MESKEN,MERKEZ ISNMA+OCAK+ŞOFBEN,2,441.77
2017,ESENYURT,TİCARİ,OCAK+KOMBİ,2,6932.6
2017,ESENYURT,TİCARİ (ÜRETİM),ÜRETİM,1,320.76
2017,EYÜPSULTAN,MESKEN,KOMBİ,1,6815.16
2017,EYÜPSULTAN,MESKEN,OCAK+KOMBİ,22,15.38
2017,EYÜPSULTAN,MESKEN,OCAK+SOBA+KOMBİ,1,12864.33
2017,FATİH,MESKEN,OCAK+KOMBİ,16,58.09
2017,FATİH,MESKEN,OCAK+SOBA,1,608.55
2017,FATİH,TİCARİ (ÜRETİM),ÜRETİM+KOMBİ,1,518.21
2017,FATİH,TİCARİ (ÜRETİM),OCAK,1,1005.98
2017,FATİH,TİCARİ (ÜRETİM),OCAK+KOMBİ,1,350.81
2017,GAZİOSMANPAŞA,MESKEN,OCAK+SOBA+KOMBİ,4,43.75
2017,GAZİOSMANPAŞA,MESKEN,MERKEZİ ISINMA+OCAK,1,6795.47
2017,GAZİOSMANPAŞA,MESKEN,OCAK+KOMBİ,12,11851.34
2017,GÜNGÖREN,MESKEN,OCAK+KOMBİ,9,2611.23
2017,GÜNGÖREN,MESKEN,MERKEZİ ISINMA+OCAK,1,1891.77
2017,GÜNGÖREN,MESKEN,OCAK+SOBA,2,338.18
2017,GÜNGÖREN,TİCARİ,MRKZ ISNMA+OCAK+KOMBI,1,141862.87
2017,GÜNGÖREN,TİCARİ (ÜRETİM),ÜRETİM+OCAK,1,18.88
2017,KADIKÖY,MESKEN,MERKEZİ ISINMA+OCAK,1,12532.19
2017,KADIKÖY,MESKEN,OCAK+KOMBİ,12,12285.05
2017,KADIKÖY,TİCARİ (ÜRETİM),ÜRETİM+OCAK+ŞOFBEN,1,2323.59
2017,KADIKÖY,TİCARİ (ÜRETİM),OCAK,1,76.72
2017,KARTAL,MESKEN,MERKEZ ISNMA+OCAK+ŞOFBEN,1,21891.64
2017,KARTAL,MESKEN,MERKEZİ ISINMA,1,28675.8
2017,KARTAL,MESKEN,OCAK+KOMBİ,19,1903.53
2017,KARTAL,TİCARİ (ÜRETİM),ÜRETİM,1,8536.43
2017,KAĞITHANE,MESKEN,OCAK+KOMBİ,28,6135.55
2017,KAĞITHANE,TİCARİ,ÜRETİM,1,14.49
2017,KAĞITHANE,TİCARİ,OCAK+KOMBİ,1,370.22
2017,KAĞITHANE,TİCARİ (ÜRETİM),ÜRETİM,1,22950.4
2017,KÜÇÜKÇEKMECE,MESKEN,OCAK+KOMBİ,18,2894.43
2017,KÜÇÜKÇEKMECE,MESKEN,OCAK+SOBA,1,1728.76
2017,KÜÇÜKÇEKMECE,MESKEN,OCAK+SOBA+KOMBİ,2,45275.12
2017,KÜÇÜKÇEKMECE,RESMİ EĞİTİM KURUMLALARI,MERKEZİ ISINMA+OCAK,1,0.0
2017,KÜÇÜKÇEKMECE,TİCARİ,OCAK+KOMBİ,1,6066.07
2017,KÜÇÜKÇEKMECE,TİCARİ (ÜRETİM),ÜRETİM+KOMBİ+SOBA,1,8091.69
2017,MALTEPE,MESKEN,OCAK+KOMBİ,18,19260.78
2017,MALTEPE,TİCARİ (ÜRETİM),ÜRETİM+KOMBİ+SOBA,1,25531.49
2017,PENDİK,MESKEN,OCAK+KOMBİ,27,224.77
2017,PENDİK,MESKEN,MERKEZ ISNMA+OCAK+ŞOFBEN,1,275.28
2017,PENDİK,TİCARİ,OCAK+KOMBİ,1,818.57
2017,PENDİK,TİCARİ (ÜRETİM),ÜRETİM,1,11992.74
2017,SANCAKTEPE,MESKEN,OCAK+KOMBİ,19,48997.65
2017,SANCAKTEPE,TİCARİ (ÜRETİM),ÜRETİM,1,2641.63
2017,SARIYER,MESKEN,OCAK+KOMBİ,9,27.58
2017,SARIYER,MESKEN,MERKEZİ ISINMA+OCAK,1,658.56
2017,SARIYER,MESKEN,KOMBİ,1,6201.99
2017,SULTANBEYLİ,MESKEN,OCAK+KOMBİ,7,0.0
2017,SULTANBEYLİ,TİCARİ,OCAK+KOMBİ,1,227.02
2017,SULTANGAZİ,MESKEN,OCAK+SOBA+KOMBİ,1,5128.37
2017,SULTANGAZİ,MESKEN,OCAK+KOMBİ,10,646.62
2017,SULTANGAZİ,MESKEN,OCAK+SOBA,2,2676.81
2017,SİLİVRİ,MESKEN,OCAK+KOMBİ,4,1662.94
2017,TUZLA,MESKEN,KOMBİ,1,12164.13
2017,TUZLA,MESKEN,OCAK+KOMBİ,13,26.72
2017,TUZLA,MESKEN,MERKEZİ ISINMA+OCAK,1,0.0
2017,TUZLA,TİCARİ (ÜRETİM),KOMBİ,1,10442.92
2017,ZEYTİNBURNU,MESKEN,OCAK+KOMBİ,7,5122.02
2017,ZEYTİNBURNU,RESMİ KURUM,ÜRETİM,1,260.58
2017,ÇATALCA,MESKEN,OCAK+KOMBİ,1,12379.08
2017,ÇEKMEKÖY,MESKEN,OCAK+KOMBİ,15,1801.13
2017,ÇEKMEKÖY,TİCARİ,OCAK+KOMBİ,2,19468.01
2017,ÜMRANİYE,MESKEN,OCAK+KOMBİ,23,2074.26
2017,ÜMRANİYE,MESKEN,OCAK+SOBA,1,2220.29
2017,ÜMRANİYE,TİCARİ,KOMBİ,1,589.99
2017,ÜMRANİYE,TİCARİ,OCAK+KOMBİ,1,24263.64
2017,ÜSKÜDAR,MESKEN,OCAK+KOMBİ,14,6588.18
2017,ÜSKÜDAR,TİCARİ,OCAK+KOMBİ,1,2239.77
2017,ŞİLE,MESKEN,OCAK+KOMBİ,1,22510.65
2017,ŞİŞLİ,MESKEN,OCAK+KOMBİ,31,49.41
2017,ŞİŞLİ,MESKEN,MERKEZ ISNMA+OCAK+ŞOFBEN,1,4073.91
2017,ŞİŞLİ,TİCARİ,OCAK+KOMBİ,1,196.37
2017,ŞİŞLİ,TİCARİ (ÜRETİM),OCAK+ŞOFBEN,1,4.1
2018,ADALAR,HAYIR KURUMU VE MÜZE,KOMBİ,1,1251.17
2018,ADALAR,HAYIR KURUMU VE MÜZE,OCAK,2,14073.24
2018,ADALAR,HAYIR KURUMU VE MÜZE,OCAK+KOMBİ,9,2861.94
2018,ADALAR,HAYIR KURUMU VE MÜZE,ÜRETİM+MERKEZİ ISINM,2,2837.62
2018,ADALAR,MESKEN,OCAK+KAZAN+YAKICI CİHAZ,1,2171.62
2018,ADALAR,MESKEN,OCAK+SOFBEN+KOMBI,1,52461.63
2018,ADALAR,MESKEN,MERKEZİ ISINMA,10,4144.22
2018,ADALAR,MESKEN,MRKZ ISNMA+OCAK+KOMBI,4,802.17
2018,ADALAR,MESKEN,MERKEZİ ISINMA+BOYLE,1,4021.41
2018,ADALAR,MESKEN,OCAK+SOBA+KOMBİ,2,18.6
2018,ADALAR,MESKEN,SOBA,2,5911.32
2018,ADALAR,MESKEN,OCAK+ŞOFBEN,88,4289158.78
2018,ADALAR,MESKEN,OCAK+KOMBİ,6,4325.2
2018,ADALAR,MESKEN,ÜRETİM+KOMBİ,1,10796.68
2018,ADALAR,MESKEN,OCAK,38,49.66
2018,ADALAR,MESKEN,KASKAT KOMBİ,1,140178.94
2018,ADALAR,MESKEN,KOMBİ,191,5093.94
2018,ADALAR,MESKEN,OCAK+SOBA,16,496.78
2018,ADALAR,MESKEN,ŞOFBEN+KOMBİ+KAZAN+YAKICI CİHAZ,1,57.96
2018,ADALAR,MESKEN,ŞOFBEN,2,5306.32
2018,ADALAR,MESKEN,MERKEZİ ISINMA+OCAK,6,86.96
2018,ADALAR,MESKEN,OCAK+SOBA+ŞOFBEN,1,2408.43
2018,ADALAR,RESMİ EĞİTİM KURUMLALARI,ÜRETİM+KOMBİ+SOBA,1,19586.6
2018,ADALAR,RESMİ EĞİTİM KURUMLALARI,ÜRETİM+MERKEZİ ISINM,1,48442.68
2018,ADALAR,RESMİ EĞİTİM KURUMLALARI,MERKEZİ ISINMA,3,38511.03
2018,ADALAR,RESMİ EĞİTİM KURUMLALARI,MERKEZİ ISINMA+OCAK,3,2462.83
2018,ADALAR,RESMİ EĞİTİM KURUMLALARI,ÜRETİM+SOBA,1,5427.82
2018,ADALAR,RESMİ EĞİTİM KURUMLALARI,ÜRETİM+OCAK,1,8078.43
2018,ADALAR,RESMİ KURUM,OCAK+KAZAN+YAKICI CİHAZ,1,9189.66
2018,ADALAR,RESMİ KURUM,ÜRETİM+KOMBİ+SOBA,3,57676.27
2018,ADALAR,RESMİ KURUM,MERKEZİ ISINMA,3,3659.27
2018,ADALAR,RESMİ KURUM,OCAK,3,2326.43
2018,ADALAR,RESMİ KURUM,KOMBİ,1,63459.69
2018,ADALAR,RESMİ KURUM,OCAK+KOMBİ,46,76728.9
2018,ADALAR,RESMİ KURUM,ÜRETİM,1,13374.72
2018,ADALAR,RESMİ KURUM,ÜRETİM+MERKEZİ ISINM,2,1845.01
2018,ADALAR,RESMİ KURUM,ÜRETİM+OCAK,1,8811.13
2018,ADALAR,SAĞLIK KURUMLARI (RESMİ),OCAK+KOMBİ,4,20507.25
2018,ADALAR,SAĞLIK KURUMLARI (RESMİ),ÜRETİM+KOMBİ+SOBA,1,36131.55
2018,ADALAR,TİCARİ,OCAK+SOFBEN+KOMBI,1,22606.95
2018,ADALAR,TİCARİ,ÜRETİM+SOBA,2,69496.16
2018,ADALAR,TİCARİ,MERKEZİ ISINMA,5,27964.92
2018,ADALAR,TİCARİ,KOMBİ,16,5060.13
2018,ADALAR,TİCARİ,ŞOFBEN+YAKICI CİHAZ,1,1423.81
2018,ADALAR,TİCARİ,ÜRETİM+OCAK,1,7681.97
2018,ADALAR,TİCARİ,ÜRETİM+KOMBİ,4,2732.1
2018,ADALAR,TİCARİ,ÜRETİM+OCAK+ŞOFBEN,2,7048.71
2018,ADALAR,TİCARİ,ÜRETİM,5,5795.44
2018,ADALAR,TİCARİ,OCAK+SOBA+KOMBİ,1,122.09
2018,ADALAR,TİCARİ,SOBA,1,90496.32
2018,ADALAR,TİCARİ,OCAK+KOMBİ,55,20122.28
2018,ADALAR,TİCARİ,ÜRETİM+KOMBİ+SOBA,5,2092.5
2018,ADALAR,TİCARİ,OCAK,2,31295.39
2018,ADALAR,TİCARİ (ÜRETİM),ÜRETİM+OCAK+ŞOFBEN,9,40194.21
2018,ADALAR,TİCARİ (ÜRETİM),ÜRETİM,18,65446.34
2018,ADALAR,TİCARİ (ÜRETİM),OCAK,17,34583.25
2018,ADALAR,TİCARİ (ÜRETİM),MERKEZİ ISINMA,2,37028.96
2018,ADALAR,TİCARİ (ÜRETİM),OCAK+KOMBİ+KAZAN+YAKICI CİHAZ,1,7605.83
2018,ADALAR,TİCARİ (ÜRETİM),ŞOFBEN+YAKICI CİHAZ,3,11396.47
2018,ADALAR,TİCARİ (ÜRETİM),KOMBİ+KAZAN+YAKICI CİHAZ,1,164199.11
2018,ADALAR,TİCARİ (ÜRETİM),ÜRETİM+MERKEZİ ISINM,32,152161.35
2018,ADALAR,TİCARİ (ÜRETİM),ÜRETİM+KOMBİ+SOBA,22,46826.28
2018,ADALAR,TİCARİ (ÜRETİM),ÜRETİM+OCAK,18,145807.07
2018,ADALAR,TİCARİ (ÜRETİM),ÜRETİM+KOMBİ,40,73744.13
2018,ADALAR,TİCARİ (ÜRETİM),OCAK+KOMBİ,29,45673.6
2018,ADALAR,TİCARİ (ÜRETİM),OCAK+KAZAN+YAKICI CİHAZ,1,21071.43
2018,ADALAR,TİCARİ (ÜRETİM),KOMBİ,8,15341.25
2018,ADALAR,TİCARİ (ÜRETİM),OCAK+ŞOFBEN,5,2229.04
2018,ADALAR,YABANCI TEMSİLCİLİK,OCAK+KOMBİ,2,3465.49
2018,ADALAR,YABANCI TEMSİLCİLİK,ÜRETİM+KOMBİ,1,100276.84
2018,ADALAR,ÖZEL EĞİTİM KURUMLARI,ÜRETİM+MERKEZİ ISINM,1,1380.48
2018,ADALAR,ÖZEL EĞİTİM KURUMLARI,KOMBİ,1,698.25
2018,ADALAR,İBADETHANE,KOMBİ,1,8372.76
2018,ADALAR,İBADETHANE,OCAK+KOMBİ,7,3105686.99
2018,ARNAVUTKÖY,ELEKTRİK ÜRETİM TESİSLERİ,ÜRETİM,1,1421.72
2018,ARNAVUTKÖY,HAYIR KURUMU VE MÜZE,OCAK+KOMBİ,3,28457.34
2018,ARNAVUTKÖY,HAYIR KURUMU VE MÜZE,OCAK+KAZAN+YAKICI CİHAZ,1,665.04
2018,ARNAVUTKÖY,HAYIR KURUMU VE MÜZE,ÜRETİM,1,24618.75
2018,ARNAVUTKÖY,HAYIR KURUMU VE MÜZE,MERKEZİ ISINMA,1,100.96
2018,ARNAVUTKÖY,HAYIR KURUMU VE MÜZE,OCAK+SOBA,1,1277.78
2018,ARNAVUTKÖY,HAYIR KURUMU VE MÜZE,ÜRETİM+KOMBİ,1,3220.87
2018,ARNAVUTKÖY,HAYIR KURUMU VE MÜZE,ŞOFBEN+YAKICI CİHAZ,1,6201.1
2018,ARNAVUTKÖY,HAYIR KURUMU VE MÜZE,ÜRETİM+MERKEZİ ISINM,2,7348.13
2018,ARNAVUTKÖY,HAYIR KURUMU VE MÜZE,KOMBİ+KAZAN+YAKICI CİHAZ,1,1794.65
2018,ARNAVUTKÖY,HAYIR KURUMU VE MÜZE,KOMBİ,2,18410468.71
2018,ARNAVUTKÖY,MESKEN,OCAK+SOBA+KOMBİ,20,35100.1
2018,ARNAVUTKÖY,MESKEN,KASKAT KOMBİ,1,35838760.35
2018,ARNAVUTKÖY,MESKEN,OCAK+KOMBİ,43,14187.02
2018,ARNAVUTKÖY,MESKEN,SOBA,28,2594228.81
2018,ARNAVUTKÖY,MESKEN,OCAK+SOBA,4,867.39
2018,ARNAVUTKÖY,MESKEN,ŞOFBEN+SOBA,2,1291788.68
2018,ARNAVUTKÖY,MESKEN,OCAK+SOBA+ŞOFBEN,1,67676.19
2018,ARNAVUTKÖY,MESKEN,MERKEZİ ISINMA+OCAK,1,411.44
2018,ARNAVUTKÖY,MESKEN,ÜRETİM+KOMBİ+SOBA,1,202336.27
2018,ARNAVUTKÖY,MESKEN,MERKEZ ISNMA+OCAK+ŞOFBEN,917,241713.15
2018,ARNAVUTKÖY,MESKEN,KOMBİ,135,112146.56
2018,ARNAVUTKÖY,MESKEN,MRKZ ISNMA+OCAK+KOMBI,314,2547.54
2018,ARNAVUTKÖY,MESKEN,OCAK+SOBA+KOMBİ+KAZAN,2,293.33
2018,ARNAVUTKÖY,MESKEN,OCAK+SOFBEN+KOMBI,1,59104.84
2018,ARNAVUTKÖY,MESKEN,OCAK,97,2412801.96
2018,ARNAVUTKÖY,MESKEN,MERKEZİ ISINMA,133,6521.99
2018,ARNAVUTKÖY,MESKEN,ŞOFBEN+KOMBİ+KAZAN+YAKICI CİHAZ,10,14530.52
2018,ARNAVUTKÖY,MESKEN,OCAK+ŞOFBEN,27,743.97
2018,ARNAVUTKÖY,MESKEN,ÜRETİM+KOMBİ,2,21805.87
2018,ARNAVUTKÖY,RESMİ EĞİTİM KURUMLALARI,KOMBİ,2,74066.03
2018,ARNAVUTKÖY,RESMİ EĞİTİM KURUMLALARI,OCAK+KOMBİ,14,34419.36
2018,ARNAVUTKÖY,RESMİ EĞİTİM KURUMLALARI,OCAK,2,18463.75
2018,ARNAVUTKÖY,RESMİ EĞİTİM KURUMLALARI,OCAK+ŞOFBEN+KAZAN+YAKICI CİHAZ,1,172588.55
2018,ARNAVUTKÖY,RESMİ EĞİTİM KURUMLALARI,ÜRETİM,8,103105.81
2018,ARNAVUTKÖY,RESMİ EĞİTİM KURUMLALARI,MERKEZİ ISINMA+OCAK,8,47511.05
2018,ARNAVUTKÖY,RESMİ EĞİTİM KURUMLALARI,ŞOFBEN+KOMBİ+YAKICI CİHAZ,2,18673.89
2018,ARNAVUTKÖY,RESMİ EĞİTİM KURUMLALARI,MERKEZİ ISINMA+BOYLE,1,359713.36
2018,ARNAVUTKÖY,RESMİ EĞİTİM KURUMLALARI,ÜRETİM+MERKEZİ ISINM,13,357828.18
2018,ARNAVUTKÖY,RESMİ EĞİTİM KURUMLALARI,MERKEZİ ISINMA,26,485.03
2018,ARNAVUTKÖY,RESMİ KURUM,OCAK+ŞOFBEN,2,646.28
2018,ARNAVUTKÖY,RESMİ KURUM,SOBA,1,36881.63
2018,ARNAVUTKÖY,RESMİ KURUM,ÜRETİM,5,17679.98
2018,ARNAVUTKÖY,RESMİ KURUM,MRKZ ISNMA+OCAK+SOBA,1,1292.2
2018,ARNAVUTKÖY,RESMİ KURUM,ÜRETİM+OCAK+ŞOFBEN,1,44987.65
2018,ARNAVUTKÖY,RESMİ KURUM,MERKEZİ ISINMA+OCAK,3,744104.38
2018,ARNAVUTKÖY,RESMİ KURUM,MERKEZİ ISINMA,17,4980.73
2018,ARNAVUTKÖY,RESMİ KURUM,ŞOFBEN+KOMBİ+SOBA,1,24089.47
2018,ARNAVUTKÖY,RESMİ KURUM,OCAK+KAZAN+YAKICI CİHAZ,2,4586.26
2018,ARNAVUTKÖY,RESMİ KURUM,ÜRETİM+KOMBİ+SOBA,2,5940.68
2018,ARNAVUTKÖY,RESMİ KURUM,ÜRETİM+KOMBİ,4,1377.85
2018,ARNAVUTKÖY,RESMİ KURUM,OCAK+SOBA,1,175653.34
2018,ARNAVUTKÖY,RESMİ KURUM,ÜRETİM+MERKEZİ ISINM,22,133962.3
2018,ARNAVUTKÖY,RESMİ KURUM,OCAK+KOMBİ,47,26723.1
2018,ARNAVUTKÖY,RESMİ KURUM,KOMBİ,12,5927.67
2018,ARNAVUTKÖY,RESMİ KURUM,OCAK,1,748305.43
2018,ARNAVUTKÖY,SANAYİ TESİSLERİ,ÜRETİM+KOMBİ+SOBA,3,490211.06
2018,ARNAVUTKÖY,SANAYİ TESİSLERİ,ÜRETİM+OCAK,1,2379477.75
2018,ARNAVUTKÖY,SANAYİ TESİSLERİ,ÜRETİM+MERKEZİ ISINM,6,1465317.17
2018,ARNAVUTKÖY,SANAYİ TESİSLERİ,OTO DOĞALGAZ DOLUM,1,311281.56
2018,ARNAVUTKÖY,SANAYİ TESİSLERİ,OCAK+ŞOFBEN+KAZAN+YAKICI CİHAZ,1,41341473.19
2018,ARNAVUTKÖY,SANAYİ TESİSLERİ,ÜRETİM,51,293418.39
2018,ARNAVUTKÖY,SANAYİ TESİSLERİ,KOMBİ,1,1491510.29
2018,ARNAVUTKÖY,SANAYİ TESİSLERİ,ÜRETİM+KOMBİ,5,5614.67
2018,ARNAVUTKÖY,SAĞLIK KURUMLARI (RESMİ),OCAK+KOMBİ,2,432729.88
2018,ARNAVUTKÖY,SAĞLIK KURUMLARI (RESMİ),ÜRETİM+MERKEZİ ISINM,2,10062.71
2018,ARNAVUTKÖY,SAĞLIK KURUMLARI (RESMİ),ÜRETİM,1,20420.96
2018,ARNAVUTKÖY,SAĞLIK KURUMLARI (RESMİ),OCAK,1,4590.74
2018,ARNAVUTKÖY,SAĞLIK KURUMLARI (ÖZEL),OCAK,1,16839.49
2018,ARNAVUTKÖY,SAĞLIK KURUMLARI (ÖZEL),ÜRETİM+KOMBİ,1,40127.26
2018,ARNAVUTKÖY,TİCARİ,OCAK+SOBA,70,294593.64
2018,ARNAVUTKÖY,TİCARİ,ÜRETİM+KOMBİ+SOBA,24,3022.11
2018,ARNAVUTKÖY,TİCARİ,ŞOFBEN,2,4038.85
2018,ARNAVUTKÖY,TİCARİ,ŞOFBEN+KOMBİ,7,148332.07
